Price,Year,Mileage_in_KM,Transmission,Fuel_Type,Title,City_standard,Make_extracted,Model_extracted
580000,2009.0,195000.0,Automatic,Gas,Toyota Corolla,Faiyum,Toyota,Corolla
475000,2019.0,80000.0,Automatic,Gas,Nissan Sunny,Cairo,Nissan,Sunny
590000,2011.0,200000.0,Automatic,Gas,Skoda Fantasia,Cairo,Skoda,Fantasia
155000,2006.0,183000.0,Manual,Gas,Chery A11,Alexandria,Chery,A11
600000,2012.0,250000.0,Manual,Diesel,Chevrolet N-Series,Cairo,Chevrolet,N-Series
1100000,2007.0,148000.0,Automatic,Gas,Mercedes C 200,Cairo,Mercedes,C 200
1445000,2026.0,0.0,Automatic,Gas,Seat Leon,Unknown,Seat,Leon
865000,2026.0,0.0,Automatic,Gas,Baic U5 plus,Unknown,Baic,U5 plus
870000,2008.0,240000.0,Automatic,Gas,BMW 740,Cairo,BMW,740
805000,2026.0,0.0,Automatic,Gas,Renault Kardian,Unknown,Renault,Kardian
780000,2026.0,0.0,Automatic,Gas,Nissan Sunny,Unknown,Nissan,Sunny
680000,2026.0,0.0,Automatic,Gas,Renault Taliant,Unknown,Renault,Taliant
870000,2021.0,84000.0,Automatic,Gas,Hyundai Elantra,Cairo,Hyundai,Elantra
683568,2026.0,0.0,Automatic,Gas,Chery Arrizo 5,Unknown,Chery,Arrizo 5
590000,2016.0,121000.0,Automatic,Gas,Kia Cerato,Cairo,Kia,Cerato
265000,2004.0,165000.0,Manual,Gas,Kia Rio,Giza,Kia,Rio
350000,2000.0,0.0,Manual,Gas,Skoda Octavia A4,Ismailia,Skoda,Octavia A4
1375000,2022.0,117500.0,Automatic,Gas,Opel Grandland,Unknown,Opel,Grandland
190000,1998.0,217.0,Automatic,Gas,Hyundai Accent,Monufia,Hyundai,Accent
425000,2014.0,212000.0,Automatic,Gas,Nissan Sunny,Minya,Nissan,Sunny
1750000,2021.0,77000.0,Automatic,Gas,Skoda Kodiaq,Cairo,Skoda,Kodiaq
450000,2007.0,370000.0,Automatic,Gas,Volkswagen Jetta,Unknown,Volkswagen,Jetta
570000,2016.0,130000.0,Automatic,Gas,Suzuki Sx4,Cairo,Suzuki,Sx4
550000,2012.0,256000.0,Automatic,Gas,Mitsubishi Lancer Puma,Red Sea,Mitsubishi,Lancer Puma
1075000,2018.0,120000.0,Automatic,Gas,BMW 320,Cairo,BMW,320
650000,2011.0,139000.0,Automatic,Gas,Kia Carens,Cairo,Kia,Carens
630000,2013.0,98000.0,Automatic,Gas,Kia Cerato,Kafr el-Sheikh,Kia,Cerato
770000,2020.0,80000.0,Automatic,Gas,Fiat Tipo,Giza,Fiat,Tipo
1850000,2015.0,147000.0,Automatic,Gas,BMW 528,Giza,BMW,528
490000,2015.0,150000.0,Automatic,Gas,Kia Picanto,Cairo,Kia,Picanto
